questionText,optionA,optionB,optionC,optionD,correctAnswer,createdAt
Which HTML element represents a caption for a figure element?,<caption>,<figcaption>,<label>,<desc>,B,2024-01-01T00:00:00Z
Which HTML element wraps media like illustrations and diagrams?,<media>,<figure>,<image>,<section>,B,2024-01-01T00:00:00Z
Which meta attribute is used to set the character encoding of a page?,name=author,charset,http-equiv,content,B,2024-01-01T00:00:00Z
What is the correct HTML5 doctype declaration?,DOCTYPE HTML5,DOCTYPE html,doctype html,HTML5,B,2024-01-01T00:00:00Z
Which tag links an external CSS stylesheet?,<link>,<style>,<css>,<stylesheet>,A,2024-01-01T00:00:00Z
Which attribute of the link tag specifies the relationship type?,rel,type,href,src,A,2024-01-01T00:00:00Z
Which tag embeds JavaScript directly in an HTML page?,<javascript>,<js>,<script>,<code>,C,2024-01-01T00:00:00Z
What does the head section of an HTML document contain?,Visible page content,Navigation links,Meta information and links to resources,Page footer,C,2024-01-01T00:00:00Z
Which attribute is used to specify a tooltip for an element?,title,tooltip,hint,alt,A,2024-01-01T00:00:00Z
Which HTML tag is used to define a block-level generic container?,<div>,<span>,<section>,<block>,A,2024-01-01T00:00:00Z
Which HTML tag is used to define an inline generic container?,<div>,<inline>,<span>,<text>,C,2024-01-01T00:00:00Z
Which form attribute specifies where to send the form data?,action,method,target,submit,A,2024-01-01T00:00:00Z
Which form method sends data in the URL query string?,POST,GET,SEND,PUT,B,2024-01-01T00:00:00Z
Which input type is used to submit a form?,type=send,type=go,type=submit,type=enter,C,2024-01-01T00:00:00Z
Which HTML attribute disables a form element?,readonly,inactive,disabled,off,C,2024-01-01T00:00:00Z
Which HTML attribute makes a form field required?,mandatory,required,must,needed,B,2024-01-01T00:00:00Z
Which attribute sets placeholder text inside an input?,hint,placeholder,default,label,B,2024-01-01T00:00:00Z
What does the label tag do in a form?,Styles an input,Identifies and describes an input element,Submits the form,Validates the input,B,2024-01-01T00:00:00Z
Which attribute links a label to its form element?,for,id,name,link,A,2024-01-01T00:00:00Z
Which input type is used for entering a password?,type=secret,type=hide,type=password,type=pass,C,2024-01-01T00:00:00Z
Which input type is used to pick a date?,type=calendar,type=date,type=time,type=day,B,2024-01-01T00:00:00Z
Which input type creates a color picker?,type=colour,type=picker,type=color,type=paint,C,2024-01-01T00:00:00Z
Which input type creates a numeric range slider?,type=slide,type=number,type=range,type=slider,C,2024-01-01T00:00:00Z
Which attribute specifies the maximum value for a number input?,max,limit,highest,top,A,2024-01-01T00:00:00Z
Which attribute specifies the minimum value for a number input?,min,low,bottom,least,A,2024-01-01T00:00:00Z
What is the default method for submitting an HTML form?,POST,GET,SEND,DELETE,B,2024-01-01T00:00:00Z
Which HTML tag is used for emphasized text?,<em>,<i>,<stress>,<focus>,A,2024-01-01T00:00:00Z
Which tag marks deleted text shown with strikethrough?,<strike>,<del>,<s>,<remove>,B,2024-01-01T00:00:00Z
Which tag marks inserted or added text?,<ins>,<add>,<new>,<insert>,A,2024-01-01T00:00:00Z
Which tag displays text as subscript?,<sub>,<low>,<down>,<subscript>,A,2024-01-01T00:00:00Z
Which tag displays text as superscript?,<sup>,<high>,<up>,<superscript>,A,2024-01-01T00:00:00Z
Which tag marks highlighted text?,<mark>,<highlight>,<yellow>,<span>,A,2024-01-01T00:00:00Z
Which tag is used for a short inline quotation?,<q>,<quote>,<cite>,<bq>,A,2024-01-01T00:00:00Z
Which tag is used for a block quotation?,<blockquote>,<quote>,<bq>,<section>,A,2024-01-01T00:00:00Z
Which tag defines the title or name of a cited work?,<title>,<cite>,<work>,<ref>,B,2024-01-01T00:00:00Z
Which tag defines an abbreviation?,<abbr>,<abr>,<short>,<acronym>,A,2024-01-01T00:00:00Z
Which tag defines contact information for the author?,<contact>,<address>,<info>,<author>,B,2024-01-01T00:00:00Z
Which HTML attribute specifies the language of an element's content?,language,lang,locale,content-lang,B,2024-01-01T00:00:00Z
Which HTML tag embeds another web page within the current page?,<embed>,<frame>,<iframe>,<page>,C,2024-01-01T00:00:00Z
Which HTML element is used to draw graphics via JavaScript?,<draw>,<graphics>,<canvas>,<svg>,C,2024-01-01T00:00:00Z
Which HTML element is used for scalable vector graphics?,<canvas>,<svg>,<vector>,<graphics>,B,2024-01-01T00:00:00Z
Which tag is used to group table header rows?,<thead>,<th>,<header>,<tgroup>,A,2024-01-01T00:00:00Z
Which tag is used to group the body rows of a table?,<tbody>,<body>,<td>,<trow>,A,2024-01-01T00:00:00Z
Which tag is used to group the footer rows of a table?,<tfoot>,<footer>,<tfooter>,<tend>,A,2024-01-01T00:00:00Z
Which attribute merges table cells horizontally?,rowspan,colspan,merge,cellspan,B,2024-01-01T00:00:00Z
Which attribute merges table cells vertically?,colspan,merge,rowspan,cellmerge,C,2024-01-01T00:00:00Z
Which tag adds a caption to a table?,<caption>,<title>,<label>,<desc>,A,2024-01-01T00:00:00Z
Which attribute is used to define the width of an HTML element?,width,size,length,extent,A,2024-01-01T00:00:00Z
Which meta tag controls how a page is displayed on mobile devices?,name=mobile,name=viewport,name=screen,name=responsive,B,2024-01-01T00:00:00Z
Which HTML element defines the main content unique to a document?,<content>,<body>,<main>,<section>,C,2024-01-01T00:00:00Z
Which HTML5 element represents the progress of a task?,<status>,<progress>,<bar>,<load>,B,2024-01-01T00:00:00Z
Which HTML5 element represents a scalar measurement within a known range?,<range>,<scale>,<measure>,<meter>,D,2024-01-01T00:00:00Z
Which script attribute tells the browser to execute the script after parsing?,async,late,defer,onload,C,2024-01-01T00:00:00Z
